rank,seed,delta_G,delta_sigma,ssimW,ssimN1,ssimN2,ssimN3,corrW,corrN1,corrN2,corrN3,eW,eN1,eN2,eN3,sync,meta,mean,peakfreq
0,16,0.22,-0.2,0.136,0.1475,0.1198,0.201,0.1869,0.2054,0.1382,0.2157,12.697,14.9161,13.4084,13.8469,0.5662,0.2064,0.4434,5.75
0,16,0.28,-0.12,0.1288,0.1752,0.125,0.1407,0.1786,0.2203,0.101,0.1257,13.8804,13.0284,14.6119,18.6721,0.6484,0.2133,0.5686,5.75
0,17,-0.06,-0.04,0.2977,0.2332,0.2691,0.2983,0.4013,0.3364,0.3472,0.3417,18.761,23.7773,19.3404,14.3338,0.3864,0.1682,0.2229,4.625
0,17,0.0,0.04,0.4571,0.3854,0.4019,0.336,0.5013,0.3766,0.4126,0.4105,9.1305,9.9331,9.9379,14.6385,0.6463,0.2104,0.5421,4.75
0,17,0.06,0.12,0.3789,0.326,0.3467,0.2907,0.4018,0.2968,0.3525,0.3512,10.526,10.6306,11.043,15.9854,0.6403,0.2309,0.5623,4.0
0,17,0.14,-0.2,0.1673,0.1608,0.1518,0.2352,0.1994,0.203,0.1745,0.2535,12.1898,14.4188,12.7225,13.466,0.5747,0.2078,0.4517,5.5
0,17,0.2,-0.12,0.1482,0.1544,0.1288,0.1765,0.2119,0.2167,0.1452,0.1969,12.4645,13.474,13.2537,15.6655,0.5995,0.2239,0.5021,5.5
0,17,0.26,-0.04,0.1917,0.2186,0.1486,0.1553,0.2145,0.2224,0.081,0.1119,14.3829,13.1805,15.4012,19.8599,0.6805,0.2073,0.5945,5.375
0,18,-0.08,0.04,0.2456,0.1894,0.2399,0.2684,0.3179,0.2452,0.3081,0.2895,21.3735,26.4164,21.7415,16.567,0.3531,0.1625,0.1864,4.375
0,18,-0.02,0.12,0.4123,0.3135,0.3847,0.36,0.3908,0.2713,0.3883,0.3857,10.2116,14.2885,10.6139,10.7551,0.5581,0.2059,0.4163,4.5
0,18,0.06,-0.2,0.2516,0.2338,0.2315,0.2925,0.3378,0.3317,0.2947,0.3471,12.9363,17.0133,13.5919,10.9637,0.4869,0.2021,0.3511,5.0
0,18,0.12,-0.12,0.1802,0.1683,0.1475,0.2145,0.2496,0.2372,0.1777,0.2477,11.8563,13.5534,12.7189,14.4191,0.6102,0.2008,0.4798,5.25
0,18,0.18,-0.04,0.1917,0.2123,0.1493,0.1607,0.2304,0.2397,0.1089,0.1374,13.4661,12.2711,14.3737,19.0285,0.6769,0.2059,0.5913,5.125
0,18,0.24,0.04,0.1602,0.1689,0.1012,0.1055,0.1815,0.171,0.0294,0.058,17.9016,15.2308,18.6468,24.327,0.7426,0.2033,0.6899,5.125
0,19,-0.1,0.12,0.2115,0.1599,0.1982,0.2411,0.3412,0.2595,0.3302,0.323,23.9296,29.0679,24.2828,18.6251,0.3053,0.1414,0.1392,4.25
0,19,-0.02,-0.2,0.2389,0.1785,0.2231,0.2858,0.3219,0.2447,0.3309,0.3691,20.2376,25.3581,20.5486,14.9748,0.3626,0.1751,0.198,4.5
0,19,0.04,-0.12,0.2754,0.2401,0.2549,0.2799,0.3577,0.321,0.3054,0.3233,14.229,18.5948,14.9134,11.8745,0.4824,0.1966,0.3257,4.75
0,19,0.1,-0.04,0.2261,0.233,0.2138,0.2027,0.2968,0.2899,0.2136,0.2252,11.3043,11.1728,12.083,16.3626,0.6437,0.2167,0.5506,4.75
0,19,0.16,0.04,0.2114,0.2056,0.1591,0.1553,0.2518,0.2161,0.1112,0.1372,13.7119,12.4417,14.6488,19.6241,0.6927,0.2044,0.6074,4.75
0,19,0.22,0.12,0.1886,0.186,0.2162,0.1468,0.1787,0.1294,0.2391,0.1901,17.1577,15.2774,16.9177,22.7027,0.736,0.2013,0.6589,5.0
0,20,-0.1,-0.2,0.1646,0.1283,0.1578,0.1998,0.3899,0.3075,0.3434,0.3543,26.2233,31.4535,26.675,20.5346,0.2445,0.1125,0.0896,4.625
0,20,-0.04,-0.12,0.3022,0.228,0.276,0.315,0.3696,0.2856,0.3604,0.3708,18.4655,23.5296,18.8457,13.8214,0.3913,0.1744,0.2314,4.375
0,20,0.02,-0.04,0.3466,0.2865,0.3305,0.3218,0.4073,0.3474,0.3737,0.3714,11.3189,15.4683,11.9295,10.6863,0.5227,0.2139,0.3814,4.125
0,20,0.08,0.04,0.3066,0.2811,0.3123,0.2721,0.3194,0.2607,0.314,0.3104,10.0492,12.1657,10.4295,13.1848,0.5999,0.216,0.4851,4.375
0,20,0.14,0.12,0.2526,0.2445,0.2888,0.2197,0.2335,0.1637,0.2966,0.2629,13.815,12.8446,13.6123,19.0572,0.6895,0.2102,0.606,4.625
0,20,0.22,-0.2,0.1265,0.134,0.1088,0.184,0.1628,0.1759,0.1158,0.1932,12.7415,14.1342,13.4083,15.1072,0.5998,0.2143,0.4841,5.75
0,20,0.28,-0.12,0.1458,0.1851,0.1486,0.159,0.2076,0.2429,0.1386,0.1557,12.598,13.0384,13.3822,16.3693,0.6176,0.2101,0.5154,5.75
0,21,-0.06,-0.04,0.3302,0.2643,0.3025,0.3226,0.4006,0.3276,0.3464,0.332,17.9541,22.9426,18.5528,13.8845,0.4009,0.177,0.2403,4.5
0,21,0.0,0.04,0.4715,0.3941,0.3857,0.3318,0.5189,0.4049,0.3982,0.3918,8.3981,10.0098,9.5269,13.5905,0.6313,0.2122,0.5173,4.75
0,21,0.06,0.12,0.3635,0.3069,0.3237,0.2599,0.4098,0.3003,0.3501,0.3342,10.5946,10.5323,11.148,16.2761,0.6513,0.2301,0.568,4.0
0,21,0.14,-0.2,0.1688,0.2031,0.1829,0.2391,0.2276,0.28,0.209,0.2669,12.0056,14.2295,12.5006,12.8835,0.565,0.2042,0.436,5.5
0,21,0.2,-0.12,0.1347,0.1626,0.1289,0.1653,0.1814,0.2112,0.1331,0.1723,12.9888,13.6178,13.6273,16.2568,0.6109,0.2137,0.5093,5.5
0,21,0.26,-0.04,0.1834,0.2317,0.1667,0.1567,0.2391,0.2637,0.1222,0.1326,13.5804,12.3054,14.4849,19.1383,0.6699,0.2154,0.5891,5.375
0,22,-0.08,0.04,0.2705,0.204,0.2628,0.2853,0.334,0.2452,0.321,0.2996,19.7984,24.8881,20.1909,15.2442,0.3747,0.1627,0.2118,4.5
0,22,-0.02,0.12,0.404,0.2988,0.3755,0.355,0.3605,0.2266,0.3673,0.378,9.4391,12.3267,9.7519,12.2845,0.6037,0.1999,0.4774,4.75
0,22,0.06,-0.2,0.2256,0.2035,0.2052,0.2645,0.3008,0.2938,0.2645,0.3178,13.4618,17.4035,14.0712,11.586,0.5046,0.1925,0.3528,5.0
0,22,0.12,-0.12,0.1728,0.1712,0.1762,0.2405,0.2439,0.2489,0.229,0.2837,11.9522,14.5349,12.4152,12.775,0.557,0.2088,0.4349,5.125
0,22,0.18,-0.04,0.1989,0.2142,0.1532,0.1656,0.247,0.2503,0.1193,0.1552,13.2606,12.2038,14.2287,18.7564,0.6772,0.1996,0.5861,5.125
0,22,0.24,0.04,0.1728,0.1831,0.114,0.1151,0.2203,0.2052,0.0665,0.0953,15.4928,13.58,16.4338,21.6111,0.7156,0.1969,0.6377,5.125
0,23,-0.1,0.12,0.1944,0.1495,0.1957,0.2315,0.3304,0.2597,0.3579,0.3362,24.6394,29.7705,24.851,19.0985,0.2963,0.1397,0.125,4.25
0,23,-0.02,-0.2,0.29,0.2171,0.2788,0.3382,0.3658,0.2804,0.3859,0.4142,19.0711,24.1982,19.327,13.9111,0.3878,0.1646,0.2169,4.5
0,23,0.04,-0.12,0.2942,0.2689,0.2912,0.3122,0.3616,0.3405,0.3373,0.3498,14.2187,18.3878,14.7178,11.8671,0.4808,0.2034,0.3314,4.75
0,23,0.1,-0.04,0.2412,0.2542,0.2147,0.2222,0.3033,0.3139,0.1985,0.2244,11.1476,11.0699,12.0897,16.1017,0.6367,0.2218,0.5435,4.75
0,23,0.16,0.04,0.1822,0.1686,0.1193,0.1378,0.2156,0.1741,0.057,0.1031,14.9132,13.3529,15.8939,20.9247,0.7164,0.1868,0.6276,4.75
0,23,0.22,0.12,0.1536,0.1455,0.0953,0.1046,0.1925,0.1435,0.0405,0.0741,15.7245,13.8651,16.5811,21.9199,0.7266,0.1958,0.6475,4.875
