rank,seed,delta_G,delta_sigma,ssimW,ssimN1,ssimN2,ssimN3,corrW,corrN1,corrN2,corrN3,eW,eN1,eN2,eN3,sync,meta,mean,peakfreq
0,16,0.28,-0.12,0.1649,0.188,0.1255,0.0586,0.2425,0.2853,0.1762,0.1119,20.884,17.2145,21.1302,27.6126,0.7753,0.1938,0.7555,4.75
0,17,-0.06,-0.04,0.3081,0.2193,0.2752,0.3213,0.4501,0.3106,0.3918,0.4159,19.9126,25.3004,20.4693,14.8173,0.369,0.1622,0.194,4.25
0,17,0.0,0.04,0.4253,0.366,0.3802,0.3387,0.4983,0.4048,0.4266,0.4221,8.4505,10.0115,9.2559,13.304,0.6224,0.2141,0.5147,4.75
0,17,0.06,0.12,0.3655,0.3805,0.3492,0.244,0.5111,0.5079,0.4875,0.4104,17.7004,14.1906,17.7914,24.4484,0.7535,0.2076,0.72,5.375
0,17,0.14,-0.2,0.3256,0.3255,0.2861,0.282,0.3476,0.3557,0.2598,0.2611,11.3841,14.1281,12.4147,12.8711,0.5507,0.2047,0.426,5.125
0,17,0.2,-0.12,0.2667,0.3194,0.2491,0.1973,0.3462,0.3972,0.2555,0.2242,12.0628,10.8084,12.8494,17.6552,0.6581,0.2137,0.5708,5.0
0,17,0.26,-0.04,0.1399,0.1613,0.1043,0.0502,0.2277,0.2634,0.1537,0.1016,23.0756,19.2174,23.2882,29.8658,0.8221,0.1779,0.7958,4.5
0,18,-0.08,0.04,0.2708,0.1982,0.2589,0.3145,0.4462,0.3212,0.4144,0.4434,21.5235,26.8897,21.9596,15.9583,0.3383,0.1594,0.1621,4.25
0,18,-0.02,0.12,0.3764,0.2973,0.3179,0.3198,0.4388,0.3008,0.3639,0.405,9.4659,10.3688,10.1805,14.6411,0.6558,0.2046,0.5422,4.25
0,18,0.06,-0.2,0.348,0.2956,0.3055,0.3385,0.3811,0.326,0.2933,0.3303,12.3514,16.6661,13.3074,11.0683,0.4853,0.2132,0.3591,4.875
0,18,0.12,-0.12,0.2913,0.2958,0.2653,0.2357,0.31,0.3038,0.2119,0.2104,11.841,12.1672,12.813,16.4227,0.6315,0.2151,0.5304,4.75
0,18,0.18,-0.04,0.18,0.2,0.1561,0.0869,0.2568,0.2746,0.2044,0.1532,19.0384,15.7185,19.2753,25.6185,0.7702,0.1983,0.7228,4.625
